Date,Price,Open,High,Low,Vol.,Change %
17-Dec-12,141.88,140.83,142.66,140,601.74K,1.08%
14-Dec-12,140.37,138.02,140.78,137.33,1.07M,1.39%
13-Dec-12,138.44,140.96,141.33,137.75,406.67K,-1.70%
12-Dec-12,140.83,140.92,142.48,139.68,310.85K,-0.71%
11-Dec-12,141.84,144.78,145.61,141.1,304.55K,-1.66%
10-Dec-12,144.23,147.08,147.08,144.04,110.93K,-1.90%
7-Dec-12,147.03,148.22,149.28,146.16,338.14K,-0.72%
6-Dec-12,148.09,147.03,149.19,144,389.62K,1.42%
5-Dec-12,146.02,145.83,147.31,145.61,125.04K,0.22%
4-Dec-12,145.7,147.12,148.09,145.19,680.74K,-1.33%
3-Dec-12,147.67,148.91,149.01,146.66,85.01K,-0.90%
30-Nov-12,149.01,148.09,149.56,146.89,114.65K,0.93%
29-Nov-12,147.63,145.88,148.09,144.78,507.67K,1.26%
27-Nov-12,145.79,147.54,148,145.42,105.05K,-0.38%
26-Nov-12,146.34,147.08,147.81,144.36,169.50K,-0.19%
23-Nov-12,146.62,152.13,153.51,145.7,662.71K,-2.57%
22-Nov-12,150.48,148.91,151.49,148.91,143.23K,1.05%
21-Nov-12,148.91,154.84,154.89,148.5,122.12K,-3.46%
20-Nov-12,154.25,155.17,155.53,153.92,57.63K,-0.15%
19-Nov-12,154.48,153.42,154.84,152.78,58.93K,1.11%
16-Nov-12,152.78,153.19,154.34,152.32,58.44K,-0.36%
15-Nov-12,153.33,152.78,154.2,152.32,45.77K,-0.06%
13-Nov-12,153.42,154.43,154.43,153.05,20.29K,-0.27%
12-Nov-12,153.83,154.2,154.43,153.1,748.63K,0.24%
9-Nov-12,153.46,156.27,156.59,153.14,62.01K,-1.60%
8-Nov-12,155.95,155.35,156.91,154.52,61.27K,-0.08%
7-Nov-12,156.08,153.65,156.64,153.65,92.34K,0.83%
6-Nov-12,154.8,153.56,155.35,153.37,70.95K,0.54%
5-Nov-12,153.97,154.43,155.17,152.73,58.00K,-0.27%
2-Nov-12,154.38,152.18,154.57,152.18,80.99K,1.66%
1-Nov-12,151.86,152.36,152.87,151.4,53.57K,0.00%
31-Oct-12,151.86,153.51,153.51,151.67,52.13K,-0.36%
30-Oct-12,152.41,154.48,154.89,152.09,67.83K,-1.07%
29-Oct-12,154.06,156.18,156.27,153.56,106.28K,-0.83%
26-Oct-12,155.35,155.35,158.11,153.65,1.48M,-0.59%
25-Oct-12,156.27,155.35,157.74,155.21,242.33K,0.59%
23-Oct-12,155.35,153.83,156.45,153.83,69.49K,-0.12%
22-Oct-12,155.53,152.78,155.95,152.5,246.41K,1.74%
19-Oct-12,152.87,154.43,154.8,152.68,192.96K,-1.30%
18-Oct-12,154.89,156.08,156.27,153.88,379.15K,-0.18%
17-Oct-12,155.17,154.48,155.58,153.28,428.51K,0.45%
16-Oct-12,154.48,154.52,156.13,153.65,155.64K,0.00%
15-Oct-12,154.48,154.43,155.21,153.33,44.77K,-0.38%
12-Oct-12,155.07,154.89,156.27,153.79,139.44K,0.51%
11-Oct-12,154.29,153.97,155.07,152.59,223.30K,0.60%
10-Oct-12,153.37,154.57,155.35,152.41,251.16K,-1.82%
9-Oct-12,156.22,157.23,159.16,155.35,364.43K,-0.79%
8-Oct-12,157.46,156.96,159.67,156.31,185.39K,0.32%
5-Oct-12,156.96,157.14,158.01,152.13,210.31K,0.12%
4-Oct-12,156.77,156.36,158.7,156.36,122.53K,0.29%
3-Oct-12,156.31,156.27,157.65,155.21,142.47K,0.08%
1-Oct-12,156.18,154.43,157,153.97,189.76K,1.22%
28-Sep-12,154.29,151.44,154.94,151.44,224.96K,2.10%
27-Sep-12,151.12,151.67,152.55,149.83,177.77K,-0.30%
26-Sep-12,151.58,151.76,152.55,151.03,107.90K,0.03%
25-Sep-12,151.53,156.91,156.91,150.98,192.75K,-0.90%
24-Sep-12,152.91,154.8,157.05,152.5,656.83K,-1.37%
21-Sep-12,155.03,150.8,155.81,150.75,285.51K,2.68%
20-Sep-12,150.98,153.05,154.61,150.29,144.95K,-1.32%
18-Sep-12,153,154.52,157.1,151.9,187.59K,-1.51%
17-Sep-12,155.35,155.35,156.68,154.89,153.36K,0.54%
14-Sep-12,154.52,158.57,159.76,153.6,93.44K,-1.61%
13-Sep-12,157.05,157.19,158.43,156.41,68.20K,0.11%
12-Sep-12,156.87,160.4,161.19,155.85,97.06K,-2.18%
11-Sep-12,160.36,157.74,160.59,157.65,100.44K,1.66%
10-Sep-12,157.74,157.42,158.75,157.19,48.61K,0.20%
8-Sep-12,157.42,158.01,158.24,157.19,8.48K,-0.44%
7-Sep-12,158.11,158.11,159.94,157.83,61.69K,0.27%
6-Sep-12,157.69,154.43,158.75,152.73,91.43K,1.81%
5-Sep-12,154.89,156.73,156.73,152.91,80.43K,-1.12%
4-Sep-12,156.64,155.35,156.91,152.45,92.24K,0.62%
3-Sep-12,155.67,154.25,157.42,154.25,82.83K,0.74%
31-Aug-12,154.52,156.27,156.27,154.25,36.57K,-1.81%
30-Aug-12,157.37,156.27,158.38,155.49,86.94K,-0.64%
29-Aug-12,158.38,158.01,158.61,156.13,90.66K,0.23%
28-Aug-12,158.01,155.81,158.29,154.98,143.05K,1.77%
27-Aug-12,155.26,154.43,158.57,153.6,67.76K,0.15%
24-Aug-12,155.03,156.64,157.42,154.38,68.48K,-1.08%
23-Aug-12,156.73,158.11,158.52,156.22,55.46K,-0.58%
22-Aug-12,157.65,159.72,159.9,157.23,60.73K,-1.32%
21-Aug-12,159.76,154.66,160.73,154.66,169.15K,3.30%
17-Aug-12,154.66,157.19,157.33,153.92,86.94K,-1.00%
16-Aug-12,156.22,157.92,157.92,155.44,50.17K,-1.05%
14-Aug-12,157.88,158.06,159.03,155.95,289.73K,-0.20%
13-Aug-12,158.2,157.78,158.84,157.19,79.06K,0.15%
10-Aug-12,157.97,155.26,158.43,155.26,100.49K,1.15%
9-Aug-12,156.18,153.19,156.64,153.19,94.92K,1.07%
8-Aug-12,154.52,154.43,157,153.33,568.35K,0.66%
7-Aug-12,153.51,151.67,154.2,151.03,1.09M,0.97%
