Date,Price,Open,High,Low,Vol.,Change %,,
7-Jul-15,3972.55,3995.00,4005.70,3957.50,30.58K,-0.45%,,
6-Jul-15,3990.55,3975.00,4004.90,3975.00,20.25K,-0.28%,,
3-Jul-15,4001.85,4000.00,4018.00,3976.05,17.46K,0.09%,,
2-Jul-15,3998.15,4024.00,4050.00,3987.00,26.51K,-0.89%,,
1-Jul-15,4033.90,4022.60,4087.00,4022.60,52.47K,0.28%,,
30-Jun-15,4022.70,3990.00,4058.90,3990.00,34.40K,0.69%,,
29-Jun-15,3994.95,4058.00,4058.00,3963.00,41.21K,-1.93%,,
26-Jun-15,4073.40,4015.00,4081.05,4006.00,79.66K,1.06%,,
25-Jun-15,4030.75,3999.90,4050.00,3982.75,21.91K,0.57%,,
24-Jun-15,4008.00,4015.00,4033.80,3984.65,25.88K,-0.27%,,
23-Jun-15,4018.75,3985.00,4025.45,3958.00,41.52K,0.95%,,
22-Jun-15,3980.85,3955.00,3992.10,3955.00,25.91K,0.96%,,
19-Jun-15,3942.85,3870.00,3960.00,3862.00,35.36K,2.30%,,
18-Jun-15,3854.10,3800.00,3880.00,3800.00,19.54K,1.22%,,
17-Jun-15,3807.80,3795.05,3824.65,3784.80,31.85K,0.35%,,
16-Jun-15,3794.50,3750.00,3820.95,3745.20,23.60K,0.79%,,
15-Jun-15,3764.65,3756.10,3792.00,3732.00,26.34K,0.76%,,
12-Jun-15,3736.10,3686.00,3755.95,3686.00,26.75K,0.91%,,
11-Jun-15,3702.25,3745.00,3773.90,3693.00,25.50K,-1.01%,,
10-Jun-15,3740.00,3695.00,3749.80,3695.00,21.27K,1.21%,,
9-Jun-15,3695.45,3700.00,3730.00,3676.55,20.73K,-0.74%,,
8-Jun-15,3723.00,3770.00,3803.95,3711.35,24.13K,-1.00%,,
5-Jun-15,3760.70,3770.00,3801.60,3747.65,43.01K,-0.30%,,
4-Jun-15,3771.90,3780.00,3813.50,3751.00,27.43K,-0.16%,,
3-Jun-15,3778.10,3828.70,3828.70,3752.80,38.03K,-1.36%,,
2-Jun-15,3830.25,3881.00,3891.75,3815.00,42.21K,-1.31%,,
1-Jun-15,3880.90,3785.00,3900.00,3775.00,61.08K,2.52%,,
29-May-15,3785.45,3710.00,3790.00,3698.90,74.47K,2.26%,,
28-May-15,3701.70,3720.00,3735.00,3696.05,60.50K,-0.54%,,
27-May-15,3721.70,3704.00,3749.95,3697.00,28.19K,-0.14%,,
26-May-15,3727.00,3691.00,3731.00,3675.00,27.14K,0.96%,,
25-May-15,3691.40,3697.00,3714.45,3682.00,13.90K,-0.32%,,
22-May-15,3703.10,3690.00,3729.15,3690.00,15.39K,0.13%,,
21-May-15,3698.35,3700.10,3722.00,3693.50,20.25K,-0.38%,,
20-May-15,3712.35,3711.50,3749.35,3705.30,26.84K,0.11%,,
19-May-15,3708.20,3676.15,3729.70,3676.15,33.62K,0.30%,,
18-May-15,3696.95,3665.00,3715.00,3655.30,17.89K,0.75%,,
15-May-15,3669.45,3640.30,3678.95,3627.75,20.09K,0.68%,,
14-May-15,3644.50,3605.00,3650.00,3556.00,31.98K,1.21%,,
13-May-15,3601.05,3590.00,3630.00,3549.50,42.60K,0.77%,,
12-May-15,3573.70,3641.20,3646.15,3556.30,30.67K,-2.05%,,
11-May-15,3648.50,3611.00,3671.00,3611.00,52.74K,1.21%,,
8-May-15,3604.85,3582.00,3615.95,3570.00,35.83K,1.80%,,
7-May-15,3541.10,3640.10,3648.00,3521.00,49.24K,-2.52%,,
6-May-15,3632.80,3755.00,3790.00,3621.05,50.98K,-4.20%,,
5-May-15,3792.05,3773.70,3804.95,3738.00,56.34K,0.89%,,
4-May-15,3758.65,3790.00,4031.00,3730.80,58.44K,0.71%,,
30-Apr-15,3732.05,3778.70,3791.00,3718.00,37.07K,-1.01%,,
29-Apr-15,3770.15,3849.80,3870.00,3751.00,79.32K,-1.48%,,
28-Apr-15,3826.65,3674.70,3836.00,3665.80,136.43K,4.93%,,
27-Apr-15,3646.70,3556.00,3679.95,3524.30,186.81K,3.02%,,
24-Apr-15,3539.80,3495.00,3574.00,3435.75,41.18K,1.31%,,
23-Apr-15,3494.05,3494.00,3534.45,3480.00,30.40K,0.92%,,
22-Apr-15,3462.10,3501.10,3508.45,3389.00,34.82K,-0.78%,,
21-Apr-15,3489.25,3608.00,3608.00,3475.50,28.58K,-3.24%,,
20-Apr-15,3606.20,3642.60,3646.30,3585.00,9.56K,-0.99%,,
