"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 30, 2013","297.10","303.05","307.60","292.10","1.37M","-1.93%"
"Jun 23, 2013","302.95","298.30","309.50","285.15","1.43M","1.25%"
"Jun 16, 2013","299.20","303.00","304.50","293.15","2.40M","-0.60%"
"Jun 09, 2013","301.00","322.90","323.20","295.90","2.17M","-5.92%"
"Jun 02, 2013","319.95","323.50","330.65","318.00","1.60M","-1.54%"
"May 26, 2013","324.95","313.00","329.60","312.55","1.20M","4.70%"
"May 19, 2013","310.35","300.50","314.20","300.00","987.71K","4.28%"
"May 12, 2013","297.60","303.50","304.15","294.45","917.38K","-0.72%"
"May 05, 2013","299.75","317.00","319.75","297.60","1.27M","-5.72%"
"Apr 28, 2013","317.95","320.00","322.50","312.00","428.58K","-0.36%"
"Apr 21, 2013","319.10","299.25","323.80","299.25","912.76K","6.63%"
"Apr 14, 2013","299.25","299.95","301.75","292.05","556.50K","-0.23%"
"Apr 07, 2013","299.95","307.90","313.45","299.25","661.19K","-2.77%"
"Mar 31, 2013","308.50","308.20","314.30","300.00","1.00M","-0.21%"
"Mar 24, 2013","309.15","299.00","310.00","294.00","709.57K","3.93%"
"Mar 17, 2013","297.45","309.95","309.95","291.20","2.94M","-7.05%"
"Mar 10, 2013","320.00","320.50","327.30","315.35","978.92K","-0.08%"
"Mar 03, 2013","320.25","314.90","322.50","307.75","1.80M","1.93%"
"Feb 24, 2013","314.20","332.00","334.00","305.10","1.57M","-5.46%"
"Feb 17, 2013","332.35","349.60","350.10","330.60","1.32M","-4.95%"
"Feb 10, 2013","349.65","340.55","354.90","335.65","2.16M","3.10%"
"Feb 03, 2013","339.15","356.00","357.40","333.00","837.24K","-4.67%"
"Jan 27, 2013","355.75","340.25","359.00","337.05","1.04M","4.26%"
"Jan 20, 2013","341.20","353.00","355.65","338.35","824.77K","-3.83%"
"Jan 13, 2013","354.80","359.10","362.15","350.15","893.32K","-1.59%"
"Jan 06, 2013","360.55","362.35","372.10","356.85","809.99K","-0.63%"
"Dec 30, 2012","362.85","352.05","363.95","351.85","1.11M","2.50%"
"Dec 23, 2012","354.00","351.25","355.90","350.60","900.41K","0.38%"
"Dec 16, 2012","352.65","352.00","360.70","348.50","1.82M","-0.37%"
"Dec 09, 2012","353.95","364.00","368.00","351.50","852.65K","-2.55%"
"Dec 02, 2012","363.20","366.00","374.05","358.00","600.11K","-0.75%"
"Nov 25, 2012","365.95","358.70","373.30","357.65","734.48K","2.22%"
"Nov 18, 2012","358.00","351.00","358.60","349.50","842.49K","2.01%"
"Nov 11, 2012","350.95","349.90","353.75","342.25","841.24K","1.36%"
"Nov 04, 2012","346.25","350.50","355.20","345.25","611.96K","-1.20%"
"Oct 28, 2012","350.45","353.50","357.00","343.15","659.53K","-1.25%"
"Oct 21, 2012","354.90","351.90","361.30","351.25","300.22K","0.34%"
"Oct 14, 2012","353.70","359.00","361.00","352.10","450.31K","-1.59%"
"Oct 07, 2012","359.40","363.45","364.90","352.10","478.47K","-1.10%"
"Sep 30, 2012","363.40","360.00","369.90","355.85","999.20K","1.10%"
"Sep 23, 2012","359.45","371.00","372.95","351.50","960.05K","-3.35%"
"Sep 16, 2012","371.90","383.05","386.00","362.00","660.58K","-2.73%"
"Sep 09, 2012","382.35","360.00","385.00","359.00","1.07M","5.87%"
"Sep 02, 2012","361.15","350.20","363.00","349.35","512.18K","2.38%"
"Aug 26, 2012","352.75","366.25","369.50","350.00","715.54K","-3.86%"
"Aug 19, 2012","366.90","349.20","371.65","345.70","1.04M","4.69%"
"Aug 12, 2012","350.45","349.00","355.80","345.60","744.96K","0.53%"
"Aug 05, 2012","348.60","345.00","354.25","340.25","763.39K","1.35%"
"Jul 29, 2012","343.95","353.10","361.00","335.05","1.34M","-2.76%"
"Jul 22, 2012","353.70","359.90","359.90","345.90","593.23K","-2.01%"
"Jul 15, 2012","360.95","354.20","363.30","350.55","1.00M","1.95%"
"Jul 08, 2012","354.05","349.80","359.75","346.85","545.16K","0.75%"
"Jul 01, 2012","351.40","347.00","358.60","344.75","995.13K","1.15%"
"Jun 24, 2012","347.40","342.80","353.60","335.10","909.72K","2.90%"
"Jun 17, 2012","337.60","340.30","346.20","334.60","777.19K","-0.69%"
"Jun 10, 2012","339.95","328.00","341.00","328.00","1.15M","4.09%"
"Jun 03, 2012","326.60","320.00","328.40","315.15","547.23K","1.65%"
"May 27, 2012","321.30","312.10","325.40","312.10","960.37K","2.57%"
"May 20, 2012","313.25","304.10","314.85","302.10","999.90K","3.33%"
"May 13, 2012","303.15","315.00","320.00","301.20","1.04M","-3.59%"
"May 06, 2012","314.45","329.50","338.45","312.60","1.93M","-4.60%"
"Apr 29, 2012","329.60","351.90","355.20","328.75","1.02M","-6.19%"
"Apr 22, 2012","351.35","361.00","367.10","343.30","1.48M","-3.09%"
"Apr 15, 2012","362.55","335.00","364.30","334.00","1.97M","7.34%"
"Apr 08, 2012","337.75","337.00","343.80","328.55","804.81K","-1.13%"
"Apr 01, 2012","341.60","341.40","346.95","334.75","806.32K","-0.44%"
"Mar 25, 2012","343.10","336.00","345.90","325.70","10.16M","2.53%"
"Mar 18, 2012","334.65","336.00","344.50","326.20","2.33M","-2.22%"
"Mar 11, 2012","342.25","337.95","350.00","335.50","2.92M","2.21%"
"Mar 04, 2012","334.85","330.00","337.05","324.05","978.57K","1.25%"
"Feb 26, 2012","330.70","329.00","338.30","318.15","2.15M","1.05%"
"Feb 19, 2012","327.25","325.45","330.30","318.00","1.95M","0.74%"
"Feb 12, 2012","324.85","334.00","343.80","320.10","5.15M","-2.04%"
"Feb 05, 2012","331.60","329.90","335.95","324.10","1.97M","1.66%"
"Jan 29, 2012","326.20","339.00","341.05","315.65","4.62M","-4.20%"
"Jan 22, 2012","340.50","342.00","347.90","328.45","2.29M","-0.96%"
"Jan 15, 2012","343.80","342.70","358.00","336.20","3.20M","0.06%"
"Jan 08, 2012","343.60","321.00","345.50","313.05","3.47M","8.00%"
"Jan 01, 2012","318.15","302.60","330.55","302.60","3.03M","5.75%"
"Dec 25, 2011","300.85","302.00","307.50","295.20","2.25M","0.25%"
"Dec 18, 2011","300.10","301.00","310.00","293.75","2.24M","-0.45%"
