"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 13, 2015","133.50","124.80","134.90","123.50","6.17M","7.40%"
"Sep 06, 2015","124.30","122.80","130.50","120.55","8.46M","0.57%"
"Aug 30, 2015","123.60","134.50","135.45","122.45","10.00M","-8.55%"
"Aug 23, 2015","135.15","130.85","138.45","125.15","17.01M","1.31%"
"Aug 16, 2015","133.40","138.50","139.45","133.05","6.17M","-3.58%"
"Aug 09, 2015","138.35","140.10","141.50","126.00","6.58M","-0.90%"
"Aug 02, 2015","139.60","141.05","142.90","139.35","4.01M","-1.69%"
"Jul 26, 2015","142.00","141.35","143.25","139.45","5.42M","-0.04%"
"Jul 19, 2015","142.05","141.75","143.30","138.80","4.38M","0.60%"
"Jul 12, 2015","141.20","138.40","141.75","137.05","5.01M","1.84%"
"Jul 05, 2015","138.65","140.50","142.20","136.40","7.39M","-2.01%"
"Jun 28, 2015","141.50","137.80","143.10","137.65","7.90M","1.73%"
"Jun 21, 2015","139.10","140.85","142.20","138.85","13.76M","-0.64%"
"Jun 14, 2015","140.00","145.00","145.00","138.70","12.93M","-3.71%"
"Jun 07, 2015","145.40","145.45","148.20","142.25","8.17M","0.35%"
"May 31, 2015","144.90","146.65","146.90","140.75","24.61M","0.84%"
"May 24, 2015","143.70","141.75","144.45","140.55","9.13M","1.95%"
"May 17, 2015","140.95","139.50","143.90","137.40","19.54M","0.64%"
"May 10, 2015","140.05","140.75","143.35","138.05","12.57M","0.04%"
"May 03, 2015","140.00","143.00","146.65","138.05","14.69M","-1.55%"
"Apr 26, 2015","142.20","146.10","147.75","140.40","6.55M","-2.50%"
"Apr 19, 2015","145.85","150.20","152.60","144.05","8.76M","-2.83%"
"Apr 12, 2015","150.10","152.80","156.00","147.50","6.02M","-1.70%"
"Apr 05, 2015","152.70","146.40","153.05","145.85","9.23M","4.27%"
"Mar 29, 2015","146.45","145.05","146.85","143.60","6.73M","1.17%"
"Mar 22, 2015","144.75","149.50","151.90","143.20","17.30M","-2.33%"
"Mar 15, 2015","148.20","145.55","149.85","144.60","8.85M","1.09%"
"Mar 08, 2015","146.60","153.30","154.35","146.00","10.15M","-5.51%"
"Mar 01, 2015","155.15","158.50","159.20","151.60","10.51M","-1.24%"
"Feb 22, 2015","157.10","153.00","157.75","150.80","14.47M","2.51%"
"Feb 15, 2015","153.25","152.00","155.05","151.15","8.50M","1.16%"
"Feb 08, 2015","151.50","143.00","152.70","140.00","15.87M","5.61%"
"Feb 01, 2015","143.45","147.25","149.40","141.60","5.83M","-3.07%"
"Jan 25, 2015","148.00","148.25","151.70","146.00","12.10M","-1.04%"
"Jan 18, 2015","149.55","147.15","151.40","144.40","14.43M","1.49%"
"Jan 11, 2015","147.35","137.60","148.95","134.80","14.12M","6.43%"
"Jan 04, 2015","138.45","138.50","140.10","133.50","13.14M","-0.22%"
"Dec 28, 2014","138.75","138.00","140.15","136.70","6.70M","1.20%"
"Dec 21, 2014","137.10","135.90","139.75","134.10","12.06M","0.96%"
"Dec 14, 2014","135.80","133.75","136.15","129.55","14.04M","0.74%"
"Dec 07, 2014","134.80","136.75","138.30","133.55","11.05M","-1.43%"
"Nov 30, 2014","136.75","141.95","142.90","135.70","13.31M","-4.17%"
"Nov 23, 2014","142.70","144.80","145.50","135.85","43.32M","-2.63%"
"Nov 16, 2014","146.55","144.40","150.00","143.70","14.54M","1.70%"
"Nov 09, 2014","144.10","145.00","150.90","142.05","23.69M","-0.55%"
"Nov 02, 2014","144.90","146.50","150.00","142.05","13.17M","-0.62%"
"Oct 26, 2014","145.80","140.90","146.35","139.80","33.25M","4.25%"
"Oct 19, 2014","139.85","133.50","141.50","133.50","14.93M","4.29%"
"Oct 12, 2014","134.10","134.85","136.65","132.50","23.27M","-1.43%"
"Oct 05, 2014","136.05","135.95","138.90","134.95","19.30M","0.07%"
"Sep 28, 2014","135.95","137.00","140.10","134.10","16.28M","-0.77%"
"Sep 21, 2014","137.00","136.80","138.40","135.05","25.40M","0.11%"
"Sep 14, 2014","136.85","134.05","139.15","133.80","27.87M","1.26%"
"Sep 07, 2014","135.15","135.00","138.20","131.75","18.42M","0.52%"
"Aug 31, 2014","134.45","128.00","135.50","127.20","21.69M","4.06%"
"Aug 24, 2014","129.20","134.20","134.50","127.45","30.17M","-3.69%"
"Aug 17, 2014","134.15","132.60","137.90","132.35","19.05M","0.71%"
"Aug 10, 2014","133.20","133.80","134.25","130.00","13.53M","0.99%"
"Aug 03, 2014","131.90","131.00","136.35","128.35","37.39M","1.62%"
"Jul 27, 2014","129.80","135.00","135.95","129.25","24.60M","-3.71%"
"Jul 20, 2014","134.80","137.10","138.20","132.10","18.59M","-1.68%"
"Jul 13, 2014","137.10","132.70","139.40","131.75","21.45M","3.32%"
"Jul 06, 2014","132.70","145.50","146.95","130.00","37.18M","-7.98%"
"Jun 29, 2014","144.20","137.80","146.30","137.30","50.19M","5.60%"
"Jun 22, 2014","136.55","132.00","137.40","130.75","42.81M","3.21%"
"Jun 15, 2014","132.30","133.00","136.50","129.65","31.26M","-0.82%"
"Jun 08, 2014","133.40","128.85","142.60","128.15","59.40M","4.14%"
"Jun 01, 2014","128.10","122.30","128.50","122.20","50.27M","5.00%"
"May 25, 2014","122.00","131.70","134.80","120.15","74.70M","-6.76%"
"May 18, 2014","130.85","120.30","132.00","120.05","55.00M","9.50%"
"May 11, 2014","119.50","106.45","125.65","106.45","47.53M","11.84%"
"May 04, 2014","106.85","104.30","107.25","102.00","22.18M","2.20%"
"Apr 27, 2014","104.55","105.25","107.90","104.10","14.27M","-0.90%"
"Apr 20, 2014","105.50","106.80","108.20","104.35","17.12M","-1.59%"
"Apr 13, 2014","107.20","107.25","108.20","105.70","16.96M","-0.42%"
"Apr 06, 2014","107.65","106.70","108.25","105.55","16.12M","0.98%"
